x13_pos x21_neg x22_neg
x0_pos x10_pos x22_neg
x18_pos x20_pos x22_pos
x6_neg x12_neg x20_pos
x7_neg x11_neg x17_neg
x7_neg x15_pos x22_neg
x2_pos x5_neg x7_pos
x15_neg x19_pos x23_pos
x1_pos x10_neg x17_neg
x3_neg x19_pos x21_pos
x1_pos x5_pos x17_neg
x4_pos x14_neg x17_neg
x12_pos x15_pos x21_neg
x3_pos x12_pos x21_neg
x4_pos x9_neg x19_pos
x9_pos x17_neg x20_neg
x4_pos x18_neg x22_pos
x9_pos x14_pos x21_pos
x2_neg x10_neg x13_neg
x0_pos x3_neg x17_pos
x6_pos x12_neg x23_pos
x0_pos x2_pos x5_neg
x7_neg x15_pos x23_pos
x10_neg x12_pos x20_pos
x18_pos x19_pos x22_neg
x12_neg x17_neg x20_pos
x5_neg x7_pos x17_neg
x13_neg x14_neg x17_neg
x8_neg x15_pos x23_pos
x11_neg x15_neg x19_pos
x7_neg x13_pos x18_neg
x9_neg x10_neg x13_pos
x1_pos x8_neg x9_pos
x4_neg x15_neg x16_neg
x10_neg x11_neg x17_neg
x14_pos x17_pos x23_pos
x4_neg x13_neg x18_pos
x7_pos x20_neg x23_pos
x0_neg x4_pos x6_neg
x9_neg x14_neg x22_pos
x5_neg x13_pos x17_neg
x6_pos x13_neg x14_neg
x0_neg x15_pos x21_pos
x3_neg x7_neg x11_neg
x15_pos x19_pos x21_pos
x0_neg x8_neg x20_pos
x6_neg x8_neg x11_pos
x5_pos x11_pos x19_neg
x12_neg x20_pos x23_pos
x4_neg x9_pos x12_pos
x0_pos x9_pos x10_pos
x17_neg x18_pos x23_pos
x5_neg x8_neg x23_neg
x3_neg x10_pos x21_neg
x6_neg x9_pos x20_pos
x11_neg x17_neg x21_neg
x1_neg x5_neg x16_neg
x0_pos x13_pos x23_neg
x1_neg x3_pos x6_neg
x9_pos x17_pos x22_neg
x14_pos x15_pos x22_pos
x10_neg x15_pos x22_neg
x0_pos x3_neg x14_pos
x12_neg x20_pos x23_neg
x1_neg x3_neg x21_neg
x10_neg x15_pos x17_neg
x7_neg x10_neg x12_neg
x2_pos x8_neg x15_neg
x1_pos x4_neg x17_neg
x7_pos x11_pos x15_pos
x0_neg x9_neg x22_neg
x2_pos x14_pos x20_pos
x2_neg x8_pos x14_neg
x5_neg x15_pos x18_pos
x10_neg x12_neg x19_neg
x13_neg x17_pos x19_neg
x1_pos x16_pos x18_pos
x8_neg x18_neg x19_neg
x18_neg x21_pos x23_neg
x12_pos x18_neg x20_neg
x0_pos x7_pos x9_pos
x3_pos x7_neg x18_pos
x5_neg x15_neg x18_neg
x0_neg x8_neg x9_pos
x0_neg x10_pos x15_neg
x8_neg x15_neg x20_neg
x7_neg x10_pos x14_pos
x5_pos x6_neg x21_pos
x2_neg x3_pos x10_pos
x6_neg x7_neg x17_pos
x1_neg x13_pos x18_neg
x15_neg x18_neg x22_neg
x3_pos x4_pos x9_pos
x5_pos x8_pos x12_pos
x12_pos x13_neg x15_neg
x3_neg x14_neg x19_pos
x14_neg x16_neg x18_pos
x5_neg x6_neg x15_neg
x5_pos x17_neg x23_neg
x0_pos x8_pos x10_neg
